ID,country,rectXMin,rectYMin,rectXMax,rectYMax,width,height,legX,legY,logoX,logoY,titleX,titleY
AGO,Angola,10.6,-18.8,28.6,-2.2,223,205,170,3,4,4,43,3
BEN,Benin,0.48,6.1,6.6,12.5,184,191,117,8,4,4,66,131
BOT,Botswana,19.3,-27.1,29.9,-17.1,233,220,185,4,4,4,113,179
BFA,Burkina Faso,-7.6,8.3,2.6,15.5,219,153,4,4,4,137,84,106
BDI,Burundi,28.8,-4.8,32.1,-2.2,200,160,137,6.5,4,147,86,110
CMR,Cameron,7.4,1.4,18.7,13.5,200,214,148,6,4,200,0,3.7
CHA,Chad,10.8,5.4,27.3,23.6,203,223,4,4,4,208,86,178
COG,Congo,10.8,-6.3,22.2,3.2,198,168,143,9,4,4,80,116
CIV,Côte d'Ivoire,-9.2,2.4,0.2,11,185,169,139,18,4,155,65,123
COD,Democratic Republic of Congo,13.5,-19.2,33.5,5.9,180,226,8,130,4,4,60,180
DJI,Djibouti,41.7,10.6,44.1,12.7,197,177,147,9,4,4,83.7,126
GNQ,Equatorial Guinea,9.17,0.3,11.9,2.4,215,163,169,18,4,4,61,118
ERI,Eritrea ,35.8,10.8,44.1,18.36,178,161,134,3.5,4,4,5,105
ETH,Ethiopia,33,0.1,50.6,16.7,202,190.7,148,4,4,4,82,143
GAB,Gabon,8.3,-5.2,17.7,2.7,198,168,143,7,4,4,71,115
GMB,Gambia,-16.9,12,-12.8,14,221,110,175,3.6,4,4,34,45
GHA,Ghana,-3.9,4.12,3.2,11.7,200,212,141,13,4,4,84,166
GIN,Guinea,-15.2,5.9,-6.8,12.9,200,166,2.9,74,156,3,47,112
GNB,Guinea-Bissau,-16.7,9.9,-13.4,12.8,200,178,150,78,4,4,9,127
KEN,Kenya,33.7,-5.7,47.4,5.18,217,173,146,20,4,157,97,126
LSO,Lesotho,26.9,-30.88,30.2,-28.4,213,161,167,11,4,4,100,111
LBR,Liberia,-12.3,4.2,-6.4,8.6,200,149,160,0,4,4,0,99
MDG,Madagascar,41.9,-26.8,56.3,-11.2,200,207,130,18,4,4,74,150
MWI,Malawi,29.1,-17.4,36.4,-8.98,166,191,8.6,21.9,4,4,6,125
MLI,Mali,-12.63,9.47,5,25.32,197,177,4,4,4,162,83,126
MRT,Mauritania,-20.3,114.4,-4.5,27.7,220,186,5,64,4,170,0,7
MOZ,Mozambique,29.196,-28.098,45.696,-9.931,200,220,146,20,4,4,90,160
NAM,Namibia,11.185,-29.188,27.685,-16.545,250,190,162,32,5,176,135,140
NER,Niger,-1.2,8.49,16.5,24.3,197,177,4,4,4,162,67,131
NGA,Nigeria,2.11,2.27,19.8,15.2,197,144,145,2,4,129,70,100
RWA,Rwanda,28.11,-3.4,31.33,-0.83,200,160,4,4,4,147,86,110
SEN,Senegal,-17.5,11.2,-10.8,16.9,215,184,175,0,4,168,77,143
SLE,Sierra Leone,-13.4,6.6,-8.9,10,200,158,145,0,4,143,86,115
SOM,Somalia,40.17,-2.2,53.8,12.3,200,212,142,70,4,4,50,158
ZAF,South Africa,15.6,-36,33.7,-19,233,220,4,4,4,205,67,6
SSD,South Sudan,22,2.3,37.9,14.3,206,157,162,7,4,142,0,7
LKA,Sri Lanka,78.9,5.7,83.5,9.8,203,179,138,81,4,161,91,0
SUD,Sudan,17.7,4.8,38.8,23.7,200,179.2,4,4,4,164,86,134
SWZ,Swaziland,30.6,-27.7,33.15,-25.6,197,161,124,5.7,4,146,83,113
TZA,Tanzania,26.7,-13.7,44.8,0.6,216,172,162,8.5,4,4,0,132
TGO,Togo,-0.46,6,5.6,11.9,184,176,80,8,4,4,66,110
UGA,Uganda,23.8,3.1,37.9,13,224,158,172,4,4,144,8,0.5
ZWE,Zimbabwe,24.89,-25.25,34.69,-19.85,200,212,4,120,4,4,73,160
